"Sample","Spore_rep","R","G","B","Y","PDI","Temp","Taxon"
"Lyco800",38,30,36,41,39.9931744359038,84.3164021819985,800,"Lycopodium"
"Lyco800",39,34,37,50,43.2139220183486,83.0533639143731,800,"Lycopodium"
"L375",1,134,103,33,130.859878222997,48.6824006968641,375,"Lycopodium"
"L375",2,140,104,27,133.046827526132,47.8247735191638,375,"Lycopodium"
"L375",3,135,99,16,125.967134581881,50.6011236933798,375,"Lycopodium"
"L375",4,148,113,32,143.360306968641,43.7802717770035,375,"Lycopodium"
"L375",5,161,130,34,161.005991550523,36.8603954703833,375,"Lycopodium"
"L375",6,147,127,25,152.232472212544,40.3009912891986,375,"Lycopodium"
"L375",7,151,124,46,154.473860017422,39.4220156794425,375,"Lycopodium"
"L375",8,143,118,13,142.474892770035,44.1274930313589,375,"Lycopodium"
"L375",9,139,104,48,135.572602526132,46.8342735191638,375,"Lycopodium"
"L375",10,145,101,21,131.931868902439,48.2620121951219,375,"Lycopodium"
"L375",11,143,108,12,135.034756881533,47.0451933797909,375,"Lycopodium"
"L375",12,129,96,5,119.966558101045,52.9542909407665,375,"Lycopodium"
"L375",13,134,100,37,129.223080313589,49.3242822299652,375,"Lycopodium"
"L375",14,161,117,49,153.590200609756,39.7685487804878,375,"Lycopodium"
"L375",15,133,98,24,125.581942421603,50.7521794425087,375,"Lycopodium"
"L375",16,135,98,24,126.344392421603,50.4531794425087,375,"Lycopodium"
"L375",17,117,85,5,107.359980052265,57.8980470383275,375,"Lycopodium"
"L375",18,134,107,20,131.980989721254,48.2427491289199,375,"Lycopodium"
"L375",19,141,97,21,127.48628597561,50.0053780487805,375,"Lycopodium"
"L375",20,156,123,31,153.573385714286,39.7751428571429,375,"Lycopodium"
"L375",21,143,99,7,127.771077439024,49.8936951219512,375,"Lycopodium"
"L375",22,152,103,5,133.845928222996,47.5114006968641,375,"Lycopodium"
"L375",23,127,90,9,115.376797996516,54.7541968641115,375,"Lycopodium"
"L375",24,140,110,54,141.165423344948,44.6410104529617,375,"Lycopodium"
"L375",25,129,88,15,115.509477961673,54.7021655052265,375,"Lycopodium"
"L375",26,136,99,5,124.825645296167,51.0487665505227,375,"Lycopodium"
"L375",27,159,133,25,161.188196602788,36.7889425087108,375,"Lycopodium"
"L375",28,150,117,19,145.243868466899,43.0416202090592,375,"Lycopodium"
"L375",29,152,106,58,143.373154703833,43.7752334494774,375,"Lycopodium"
"L375",30,151,114,15,142.880866986063,43.968287456446,375,"Lycopodium"
"L375",31,128,81,19,110.570772125435,56.6389128919861,375,"Lycopodium"
"L375",32,141,95,20,125.887515940767,50.6323466898955,375,"Lycopodium"
"L375",33,135,101,14,127.150618902439,50.137012195122,375,"Lycopodium"
"L375",34,147,114,5,139.971681271777,45.1091445993031,375,"Lycopodium"
"L375",35,147,123,21,148.758075,41.6635,375,"Lycopodium"
"L375",36,136,100,17,127.216958885017,50.1109965156795,375,"Lycopodium"
"L375",37,132,98,12,123.53957456446,51.5531080139373,375,"Lycopodium"
"L375",38,142,109,5,134.41470261324,47.2883519163763,375,"Lycopodium"
"L375",39,149,110,26,140.720448344948,44.8155104529617,375,"Lycopodium"
"L375",40,143,100,12,129.193391027875,49.335925087108,375,"Lycopodium"
"L375",41,155,127,35,156.666557926829,38.5621341463415,375,"Lycopodium"
"L375",42,115,89,8,109.93349869338,56.8888240418119,375,"Lycopodium"
"L375",43,135,110,5,132.476298344948,48.0485104529617,375,"Lycopodium"
